"Centre Code","Centre Name","Centre Type","All Student Count","Enrolment Effective","Actual Address Line 1","Actual Address Line 2","Actual Address Line 3","Actual Address Post Code","OIC Title","Postal Address 1","Postal Address 2","Postal Address 3","Postal Address Post Code","Band","Phone Number","Restrict Contact to Outside Teaching Hours","Fax Number","Internet Site","Official Low Year Level","Official High Year Level","Geographic Region","Federal Electorate","State Electorate","Local Government Area"
"6459","Human Resources - Townsville","Administrative Unit (Other)","0","","Level 1 Red Foyer Commonwealth Centre","143 Walker Street","Townsville","4810","Director","PO Box 5438","Townsville MC","","4810","","(07) 4799 7366","N","","","","","North Queensland","Herbert","Townsville","Townsville (C)"
"6458","Human Resources - Warwick","Administrative Unit (Other)","0","","176 - 202 Dragon Street","Warwick","","4370","Director","PO Box 260","Warwick","","4370","","(07) 4667 5180","N","","","","","Darling Downs South West","Maranoa","Southern Downs","Southern Downs (R)"
"1639","Humpybong SS - Special Education Program","Special Education Program","0","February 2012","Ernest Street","Margate","","4019","Head of Special Education Services","Ernest Street","Margate","","4019","06","(07) 3284 2736","N","(07) 3883 2482","www.humpybongss.eq.edu.au","PY","07","North Coast","Petrie","Redcliffe","Moreton Bay (R)"
"0164","Humpybong State School","State School","725","February 2012","Ernest Street","Margate","","4019","Principal","Ernest Street","Margate","","4019","10","(07) 3385 1666","N","(07) 3284 6730","www.humpybongss.eq.edu.au","PY","07","North Coast","Petrie","Redcliffe","Moreton Bay (R)"
"6309","Hymba Yumba Community Hub (Springfield)","Non-State School","","","Level 5 World Knowledge Centre","37 Sinnathamby Boulevard","Springfield Central","4300","Principal","PO Box 4714","Springfield","","4300","","(07) 3470 0452","","","www.hymbayumba.qld.edu.au","PY","12","Metropolitan","Oxley","Bundamba","Ipswich (C)"
"7401","Hymba Yumba Community Hub (World Knowledge Centre)","Associated Facility","","","Sinnathamby Boulevard","Springfield","","4300","Principal","PO Box 4714","Springfield","","4300","","(07) 3470 0452","N","","www.hymbayumba.qld.edu.au","PY","12","Metropolitan","Blair","Bundamba","Ipswich (C)"
"5526","ICT Learning Innovation Centre - Sunshine Coast","Support Centre","0","","3rd Floor ICT Bldg, Sunshine Coast Uni","","Sippy Downs","4556","Manager","PO Box 7102","Sippy Downs","","4556","","(07) 5459 4590","N","(07) 5459 4598","","","","North Coast","Fisher","Kawana","Sunshine Coast (R)"
"7593","ICT Solutions","Administrative Unit (Other)","0","","Floor 10 Education House","30 Mary Street","Brisbane","4000","Education Officer","GPO Box 15033"," City East","","4002","","(07) 3235 9937","N","(07) 3229 8695","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"5777","ICT Support","Administrative Unit (Other)","0","","119 Charlotte Street","Brisbane","","4000","Director","PO Box 15033","City East","","4002","","(07) 3237 1202","N","(07) 3239 6508","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"7218","Identity and Access Management Program","Administrative Unit (Other)","0","","62 Mary Street","Brisbane","","4000","Manager","PO Box 15033","City East","","4002","","(07) 3404 3462","N","","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"5424","Ignatius Park College (Townsville)","Non-State School","","","368-384 Ross River Road","Cranbrook","","4814","Principal","PO Box 121","Aitkenvale","","4814","","(07) 4796 0222","N","(07) 4796 0200","www.ipc.qld.edu.au","08","12","North Queensland","Herbert","Mundingburra","Townsville (C)"
"0713","Ilfracombe State School","State School","29","February 2012","20 McMaster Drive","Ilfracombe","","4727","Principal","PO Box 19","Ilfracombe","","4727","05","(07) 4658 2159","N","(07) 4658 1007","www.ilfracomss.eq.edu.au","PY","07","Central Queensland","Maranoa","Gregory","Longreach (R)"
"5016","Immaculate Heart School (Leichhardt)","Non-State School","","","24 Old Toowoomba Road","Leichhardt","","4305","Principal","24 Old Toowoomba Road","Leichhardt","","4304","","(07) 3812 1077","N","(07) 3812 2887","www.immac-heart.qld.edu.au","PY","07","Metropolitan","Blair","Ipswich West","Ipswich (C)"
"5499","Immanuel Lutheran College (Maroochydore)","Non-State School","","","126-142 Wises Road","Buderim","","4556","Principal","PO Box 5025","Maroochydore BC","","4558","","(07) 5477 3444","N","(07) 5477 3477","www.immanuel.qld.edu.au","PY","12","North Coast","Fairfax","Buderim","Sunshine Coast (R)"
"5692","IMS Service Desk Support School","Administrative Unit (Other)","0","","Floor 10 Education House","30 Mary Street","Brisbane","4000","Officer-in-Charge","PO Box 15033","City East","Brisbane","4002","","(07) 3237 9634","N","(07) 3229 8695","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"2384","Inala SS - Special Education Program","Special Education Program","0","February 2012","Rosemary Street","Durack","","4077","Head of Special Education Services","PO Box 2009","Inala Heights","","4077","05","(07) 3372 0777","N","(07) 3372 0700","","PY","07","Metropolitan","Oxley","Inala","Brisbane (C)"
"1116","Inala State School","State School","499","February 2012","Rosemary Street","Durack","","4077","Principal","PO Box 2009","Inala Heights","","4077","08","(07) 3372 0777","N","(07) 3372 0700","www.inalass.eq.edu.au","PY","07","Metropolitan","Oxley","Inala","Brisbane (C)"
"5644","Indigenous Education and Training Futures","Administrative Unit (Other)","0","","Floor 21 Education House","30 Mary Street","Brisbane","4000","Assistant Director-General","PO Box 15033","City East","","4002","","(07) 3225 8084","N","(07) 3235 4099","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"5401","Indigenous Schooling Support Unit - Central Queensland","Support Centre","0","","209 Bolsover Street","Rockhampton","","4700","Manager","PO Box 138","Rockhampton","","4700","","(07) 4938 6740","N","(07) 4938 4921","","","","Central Queensland","Capricornia","Rockhampton","Rockhampton (R)"
"0477","Indigenous Schooling Support Unit (ISSU) Central Southern Queensland","Support Centre","0","","Sinnathamby Boulevard","Springfield","","4300","Manager","World Knowledge Centre, USQ Campus","Sinnathamby Boulevard","Springfield","4300","","(07) 3381 6400","N","(07) 3381 6412","","","","Central Office","Oxley","Bundamba","Ipswich (C)"
"6850","Indigenous Schooling Support Unit (ISSU) North Queensland","Support Centre","0","","26 Burt Street","Mundingburra","","4812","Manager","Education Queensland","PO Box 1746","Aitkenvale DC","4814","","(07) 4775 6055","N","(07) 4725 3463","","","","North Queensland","Herbert","Mundingburra","Townsville (C)"
"5980","Indooroopilly SHS - Special Education Program","Special Education Program","0","February 2012","Ward Street","Indooroopilly","","4068","Teacher-in-Charge","PO Box 61","Indooroopilly","","4068","","(07) 3327 8333","N","(07) 3327 8300","","08","12","Metropolitan","Ryan","Indooroopilly","Brisbane (C)"
"5667","Indooroopilly Special Education Unit (ESL)","Special Education Unit (ESL)","0","February 2012","Ward Street","Indooroopilly","","4068","Head of Special Education Services","PO Box 61","Indooroopilly","","4068","06","(07) 3327 8333","N","(07) 3327 8300","","08","12","Metropolitan","Ryan","Indooroopilly","Brisbane (C)"
"5981","Indooroopilly SS - Special Education Program","Special Education Program","0","February 2012","Cnr Moggill Road & Russell Terrace","Indooroopilly","","4068","Teacher-in-Charge","Cnr moggill Road & Russell Terrace","Indooroopilly","","4068","","(07) 3327 2333","N","(07) 3327 2300","","PY","07","Metropolitan","Ryan","Indooroopilly","Brisbane (C)"
"2034","Indooroopilly State High School","State High School","1047","February 2012","Ward Street","Indooroopilly","","4068","Principal","PO Box 61","Indooroopilly","","4068","10","(07) 3327 8333","N","(07) 3327 8300","www.indoorooshs.eq.edu.au","08","12","Metropolitan","Ryan","Indooroopilly","Brisbane (C)"
"0585","Indooroopilly State School","State School","838","February 2012","Cnr Moggill Road & Russell Terrace","Indooroopilly","","4068","Principal","cnr Moggill Road & Russell Terrace","Indooroopilly","","4068","09","(07) 3327 2333","N","(07) 3327 2300","www.indoorooss.eq.edu.au","PY","07","Metropolitan","Ryan","Indooroopilly","Brisbane (C)"
"6116","Industry Development (TQ)","Administrative Unit (Other)","0","","30 Mary Street","Brisbane","","4000","Executive Director","PO Box 15033","City East","","4002","","(07) 3225 2419","N","","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"2497","Information and Technologies","Administrative Unit (Other)","0","","Level 10 Education House","30 Mary Street","Brisbane","4000","Assistant Director-General","PO Box 15033","City East","","4002","","(07) 3237 0750","N","(07) 3836 0429","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"7534","Information Management","Administrative Unit (Other)","0","","1 Cordelia Street","South Brisbane","","4101","Director","GPO Box 1326","Brisbane","","4001","","(07) 3259 4130","N","(07) 3259 4136","","","","Central Office","Griffith","South Brisbane","Brisbane (C)"
"8146","Infrastructure Management","Administrative Unit (Other)","0","","Floor 15 Education House","30 Mary Street","Brisbane","4061","Director","PO Box 15033","City East","","4002","","(07) 3237 0761","N","","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"7767","Infrastructure Operations","Resource Services","0","","Floor 15 Education House","30 Mary Street","Brisbane","4000","Director","PO Box 15033","City East","","4002","","(07) 3237 0941","N","(07) 3235 4367","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"8145","Infrastructure Procurement and Contract Management","Administrative Unit (Other)","0","","Floor 15 Education House","30 Mary Street","Brisbane","4000","Director","PO Box 15033","City East","","4002","","(07) 3247 4068","N","","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"8083","Infrastructure Programs and Delivery","Administrative Unit (Other)","0","","Floor 2 Education House","30 Mary Street","Brisbane","4000","Executive Director","PO Box 15033","City East","","4002","","(07) 3224 2826","N","","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"6451","Infrastructure Services","Administrative Unit (Other)","0","","Floor 22 Education House","30 Mary Street","Brisbane","4000","Assistant Director-General","PO Box 15033","City East","","4002","","(07) 3237 1082","N","(07) 3221 4953","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"8152","Infrastructure Strategy (Schools)","Administrative Unit (Other)","0","","Floor 2 Education House","30 Mary Street","Brisbane","4000","Director","PO Box 15033","City East","","4002","","(07) 3237 1902","N","","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"8164","Infrastructure Strategy (TAFE)","Administrative Unit (Other)","0","","Floor 2 Education House","30 Mary Street","Brisbane","4000","Director","PO Box 15033","City East","","4002","","(07) 3237 1902","N","","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"5555","Infrastructure Strategy Research and Performance","Administrative Unit (Other)","0","","Floor 2 Education House","30 Mary Street","Brisbane","4000","Executive Director","PO Box 15033","City East","Brisbane","4002","","(07) 3237 0950","N","","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"5291","Ingham SHS - Special Education Program","Special Education Program","0","February 2012","12 Menzies Street","Ingham","","4850","Head of Special Education Services","PO Box 869","Ingham","","4850","05","(07) 4776 2433","N","(07) 4776 1182","www.inghamshs.eq.edu.au","08","12","North Queensland","Kennedy","Hinchinbrook","Hinchinbrook (S)"
"5910","Ingham SS - Special Education Program","Special Education Program","0","February 2012","28 McIlwraith Street","Ingham","","4850","Head of Special Education Services","PO Box 388","Ingham","","4850","05","(07) 4776 9333","N","(07) 4776 9300","","0P","07","North Queensland","Kennedy","Hinchinbrook","Hinchinbrook (S)"
"2027","Ingham State High School","State High School","471","February 2012","12 Menzies Street","Ingham","","4850","Principal","PO Box 869","Ingham","","4850","09","(07) 4797 1333","N","(07) 4776 1182","www.inghamshs.eq.edu.au","08","12","North Queensland","Kennedy","Hinchinbrook","Hinchinbrook (S)"
"0450","Ingham State School","State School","402","February 2012","28 McIlwraith Street","Ingham","","4850","Principal","PO Box 388","Ingham","","4850","08","(07) 4776 9333","N","(07) 4776 9300","www.inghamss.eq.edu.au","PY","07","North Queensland","Kennedy","Hinchinbrook","Hinchinbrook (S)"
"0661","Ingleside State School","State School","63","February 2012","893 Tallebudgera Creek Road","Tallebudgera Valley","","4228","Principal","893 Tallebudgera Creek Road","Tallebudgera Valley","","4228","05","(07) 5533 8138","N","(07) 5533 8277","www.inglesidss.eq.edu.au","PY","07","South East","Mcpherson","Currumbin","Gold Coast (C)"
"0055","Inglewood State School","State School","156","February 2012","Chilcott Street","Inglewood","","4387","Principal","PO Box 203","Inglewood","","4387","08","(07) 4652 0111","N","(07) 4652 0100","www.inglewoodss.eq.edu.au","PY","10","Darling Downs South West","Maranoa","Southern Downs","Goondiwindi (R)"
"1723","Injune P-10 State School","State School","77","February 2012","Cnr Hutton Street & Fourth Avenue","Injune","","4454","Principal","PO Box 12","Injune","","4454","07","(07) 4626 0222","N","(07) 4626 0200","www.injuness.eq.edu.au","PY","10","Darling Downs South West","Maranoa","Warrego","Maranoa (R)"
"1660","Innisfail East State School","State School","201","February 2012","92 Mourilyan Road","Innisfail","","4860","Principal","PO Box 104","Innisfail","","4860","07","(07) 4078 0111","N","(07) 4061 4309","www.innieastss.eq.edu.au","PY","07","Far North Queensland","Kennedy","Mulgrave","Cassowary Coast (R)"
"6463","Innisfail State College","State High School","678","February 2012","45 Flying Fish Point Road","Innisfail","","4860","Principal","45 Flying Fish Point Road","Innisfail","","4860","11","(07) 4078 0222","N","(07) 4078 0200","www.innisfailsc.eq.edu.au","0P","12","Far North Queensland","Kennedy","Mulgrave","Cassowary Coast (R)"
"3046","Innisfail State College - Diverse Learning Centre","Special Campus","0","February 2012","45 Flying Fish Point Road","Innisfail","","4860","Associate Principal","45 Flying Fish Point Road","Innisfail","","4860","06","(07) 4078 0336","N","(07) 4078 0200","www.innisfailsc.eq.edu.au","PS","SS","Far North Queensland","Kennedy","Mulgrave","Cassowary Coast (R)"
"5280","Innisfail State College - Special Education Program","Special Education Program","0","February 2012","45 Flying Fish Raod","Innisfail","","4860","Head of Special Education Services","45 Flying Fish Road","Innisfail","","4860","05","(07) 4078 0222","N","(07) 4078 0200","www.innisfailsc.eq.edu.au","08","12","Far North Queensland","Kennedy","Mulgrave","Cassowary Coast (R)"
"0527","Innisfail State School","State School","151","February 2012","7 Emily Street","Innisfail","","4860","Principal","PO Box 406","Innisfail","","4860","07","(07) 4061 0333","N","(07) 4061 0300","www.innisfailss.eq.edu.au","PY","07","Far North Queensland","Kennedy","Mulgrave","Cassowary Coast (R)"
"8045","Internal Audit","Administrative Unit (Other)","0","","Floor 7 Education House","30 Mary Street","Brisbane","4000","Director","PO Box 15033","City East","","4002","","(07) 3237 0684","N","(07) 3235 4650","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"5295","Iona College (Lindum)","Non-State School","","","85 North Road","Wynnum West","","4178","Rector","PO Box 351","Wynnum Central","","4178","","(07) 3893 8888","N","(07) 3893 8800","www.iona.qld.edu.au","05","12","Metropolitan","Bonner","Lytton","Brisbane (C)"
"5479","Ipswich Adventist School","Non-State School","","","56 Hunter Street","Brassall","","4305","Principal","56 Hunter Street","Brassall","","4305","","(07) 3201 6233","N","(07) 3201 4205","www.ias.qld.edu.au","PY","07","Metropolitan","Blair","Ipswich West","Ipswich (C)"
"3493","Ipswich Central SS - Special Education Program","Special Education Program","0","February 2012","Griffith Road","Ipswich","","4305","Head of Special Education Services","Griffith Road","Ipswich","","4305","07","(07) 3432 5331","N","(07) 3432 5355","","0P","07","Metropolitan","Blair","Ipswich","Ipswich (C)"
"0059","Ipswich Central State School","State School","727","February 2012","Griffith Road","Ipswich","","4305","Principal","Griffith Road","Ipswich","","4305","09","(07) 3432 5333","N","(07) 3432 5300","www.ipswcentss.eq.edu.au","PY","07","Metropolitan","Blair","Ipswich","Ipswich (C)"
"5982","Ipswich East SS - Special Education Program","Special Education Program","0","February 2012","Jacaranda Street","East Ipswich","","4305","Teacher-in-Charge","Jacaranda Street","East Ipswich","","4305","","(07) 3432 6333","N","(07) 3432 6300","www.ipsweastss.eq.edu.au","PY","07","Metropolitan","Blair","Ipswich","Ipswich (C)"
"0575","Ipswich East State School","State School","457","February 2012","Jacaranda Street","East Ipswich","","4305","Principal","Jacaranda Street","East Ipswich","","4305","09","(07) 3432 6333","N","(07) 3432 6300","www.ipsweastss.eq.edu.au","PY","07","Metropolitan","Blair","Ipswich","Ipswich (C)"
"7922","Ipswich Flexible Learning Centre","Non-State School","","","1 Queen Victoria Parade","Ipswich","","4305","Principal","PO Box 923","Indooroopilly","","4068","","","N","","","08","12","South East","Blair","Ipswich","Ipswich (C)"
"5513","Ipswich Girls' Grammar School","Non-State School","","","Cnr Queen Victoria Parade & Chermside Road","East Ipswich","","4305","Principal","PO Box 16","Ipswich","","4305","","(07) 3454 4447","N","(07) 3454 4480","www.girlsgrammar.com","PY","12","Metropolitan","Blair","Ipswich","Ipswich (C)"
"5514","Ipswich Grammar School","Non-State School","","","Darling Street","Ipswich","","4305","Headmaster","Grammar School Hill","Ipswich","","4305","","(07) 3813 9600","N","(07) 3281 3277","www.ipswichgrammar.com","PY","12","Metropolitan","Blair","Ipswich","Ipswich (C)"
"0061","Ipswich North State School","State School","106","February 2012","Downs Street","North Ipswich","","4305","Principal","PO Box 2288","North Ipswich","","4305","07","(07) 3813 5888","N","(07) 3813 5800","www.ipswnortss.eq.edu.au","PY","07","Metropolitan","Blair","Ipswich West","Ipswich (C)"
"6680","Ipswich Service Centre (Early Childhood Education and Care)","Administrative Unit (Other)","0","","114 Brisbane Street","Ipswich","","4305","Manager","Tower Central","114 Brisbane Street","Ipswich","4305","","(07) 3280 1940","N","","","","","Metropolitan","Blair","Ipswich","Ipswich (C)"
"2404","Ipswich SHS - Special Education Program","Special Education Program","0","February 2012","1 Hunter Street","Brassall","","4305","Head of Special Education Services","PO Box 26","Ipswich","","4305","06","(07) 3813 4488","N","(07) 3813 4400","www.ipswichshs.eq.edu.au","08","12","Metropolitan","Blair","Ipswich West","Ipswich (C)"
"3018","Ipswich Special School","Special School","119","February 2012","2a Milford Street","Ipswich","","4305","Principal","PO Box 464","Ipswich","","4305","10","(07) 3813 5777","N","(07) 3813 5700","www.ipswichspecs.eq.edu.au","0P","SS","Metropolitan","Blair","Ipswich","Ipswich (C)"
"2069","Ipswich State High School","State High School","1045","February 2012","1 Hunter Street","Brassall","","4305","Principal","PO Box 26","Ipswich","","4305","11","(07) 3813 4488","N","(07) 3813 4400","www.ipswichshs.eq.edu.au","08","12","Metropolitan","Blair","Ipswich West","Ipswich (C)"
"3015","Ipswich West Special School","Special School","53","February 2012","Cnr Omar and Tiger Streets","Ipswich West","","4305","Principal","PO Box 567","Ipswich","","4305","08","(07) 3813 5111","N","(07) 3813 5100","www.ipswwestspecs.eq.edu.au","PS","SS","Metropolitan","Blair","Ipswich","Ipswich (C)"
"0366","Ipswich West State School","State School","161","February 2012","Cnr Omar and Keogh Streets","Ipswich West","","4305","Principal","Cnr Omar and Keogh Streets","Ipswich West","","4305","07","(07) 3813 5222","N","(07) 3813 5200","www.ipswwestss.eq.edu.au","PY","07","Metropolitan","Blair","Ipswich","Ipswich (C)"
"0108","Ironside State School","State School","894","February 2012","2 Hawken Drive","St Lucia","","4067","Principal","2 Hawken Drive","St Lucia","","4067","09","(07) 3258 3111","N","(07) 3258 3100","www.ironsidess.eq.edu.au","PY","07","Metropolitan","Ryan","Indooroopilly","Brisbane (C)"
"0519","Irvinebank State School","State School","11","February 2012","High Street","Irvinebank","","4887","Principal","High Street","Irvinebank","","4887","05","(07) 4096 4187","N","(07) 4096 4115","www.irvinebankss.eq.edu.au","PY","07","Far North Queensland","Kennedy","Dalrymple","Tablelands (R)"
"5911","Isabella SS - Special Education Program","Special Education Program","0","February 2012","Walker Road","Edmonton","","4869","Head of Special Education Services","PO Box 874","Edmonton","","4869","05","(07) 4040 8777","N","(07) 4040 8700","","0P","07","Far North Queensland","Kennedy","Mulgrave","Cairns (R)"
"1721","Isabella State School","State School","566","February 2012","Walker Road","Edmonton","","4869","Principal","PO Box 874","Edmonton","","4869","09","(07) 4040 8777","N","(07) 4040 8700","www.isabellass.eq.edu.au","PY","07","Far North Queensland","Kennedy","Mulgrave","Cairns (R)"
"2063","Isis District State High School","State High School","428","February 2012","3 Ridgway Street","Childers","","4660","Principal","3 Ridgway Street","Childers","","4660","09","(07) 4192 1222","N","(07) 4192 1200","www.isisdistshs.eq.edu.au","08","12","North Coast","Hinkler","Burnett","Bundaberg (R)"
"0063","Isisford State School","State School","19","February 2012","14 St Helena Street","Isisford","","4731","Principal","PO Box 8","Isisford","","4731","05","(07) 4658 8186","N","(07) 4658 8190","www.isisfordss.eq.edu.au","PY","07","Central Queensland","Maranoa","Gregory","Longreach (R)"
"0091","Islamic College of Brisbane","Non-State School","","","45 Acacia Road","Karawatha","","4117","Principal","PO Box 1769","Springwood","","4127","","(07) 3841 3645","N","(07) 3841 4320","www.islamiccollegeofbrisbane.com.au","PY","12","Metropolitan","Rankin","Stretton","Brisbane (C)"
"0248","IT Solutions and Operations","Administrative Unit (Other)","0","","Floor 10 Education House","30 Mary Street","Brisbane","4000","Executive Director","PO Box 15033","City East","","4002","","(07) 3237 0136","N","(07) 3237 9695","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"0455","Ithaca Creek State School","State School","486","February 2012","Lugg Street","Bardon","","4065","Principal","PO Box 195","Ashgrove","","4060","08","(07) 3514 9333","N","(07) 3514 9300","www.ithacreess.eq.edu.au","PY","07","Metropolitan","Brisbane","Mount Coot-tha","Brisbane (C)"
"7403","Jabiru Community College","Non-State School","","","77 Bracken Street","Bracken Ridge","","4017","Community Learning Program Coordinator","C/- The Community Annex","Bracken Street","Bracken Ridge","4017","","(07) 3269 0044","N","","","10","12","Metropolitan","Petrie","Sandgate","Brisbane (C)"
"3552","Jacobs Well Environmental Education Centre","Outdoor and Environmental Education Centre","0","","Cnr Behm's and Pimpama-Jacobs Well Roads","Norwell","","4208","Principal","843 Pimpama-Jacobs Well Rd","Norwell","","4208","07","(07) 5546 2317","N","(07) 5546 1522","www.jacobseec.eq.edu.au","","","South East","Fadden","Coomera","Gold Coast (C)"
"1659","Jambin State School","State School","44","February 2012","Threeways Road","Jambin","","4702","Principal","PO Box 22","Jambin","","4702","05","(07) 4996 5272","N","(07) 4996 5398","www.jambinss.eq.edu.au","PY","07","Central Queensland","Flynn","Callide","Banana (S)"
"3480","Jamboree Heights SS - Special Education Program","Special Education Program","0","February 2012","35 Beanland Street","Jamboree Heights","","4074","Head of Special Education Services","35 Beanland Street","Jamboree Heights","","4074","05","(07) 3725 5606","N","(07) 3725 5600","www.jambheigss.eq.edu.au","0P","07","Metropolitan","Oxley","Mount Ommaney","Brisbane (C)"
"0276","Jamboree Heights State School","State School","701","February 2012","35 Beanland Street","Jamboree Heights","","4074","Principal","35 Beanland Street","Jamboree Heights","","4074","09","(07) 3725 5666","N","(07) 3725 5600","www.jambheigss.eq.edu.au","PY","07","Metropolitan","Oxley","Mount Ommaney","Brisbane (C)"
"5541","James Nash SHS - Special Education Program","Special Education Program","0","February 2012","109 Myall Street","Gympie","","4570","Head of Special Education Services","PO Box 492","Gympie","","4570","06","(07) 5480 6333","N","(07) 5480 6300","","08","12","North Coast","Wide Bay","Gympie","Gympie (R)"
"2137","James Nash State High School","State High School","957","February 2012","109 Myall Street","Gympie","","4570","Principal","PO Box 492","Gympie","","4570","10","(07) 5480 6333","N","(07) 5480 6300","www.jamenashshs.eq.edu.au","08","12","North Coast","Wide Bay","Gympie","Gympie (R)"
"0537","Jandowae Prep-10 State School","State School","145","February 2012","44 George Street","Jandowae","","4410","Principal","PO Box 60","Jandowae","","4410","07","(07) 4668 4333","N","(07) 4668 5630","www.jandowaess.eq.edu.au","PY","10","Darling Downs South West","Maranoa","Warrego","Western Downs (R)"
"0798","Jarvisfield State School","State School","30","February 2012","Rita Island Road","Jarvisfield","","4807","Principal","MS 2170","Rita Island","Via Ayr","4807","05","(07) 4782 4254","N","(07) 4782 4264","www.jarvisfiss.eq.edu.au","PY","07","North Queensland","Dawson","Burdekin","Burdekin (S)"
"0206","Jericho State School","State School","15","February 2012","Pasteur Street","Jericho","","4728","Principal","PO Box 13","Jericho","","4728","05","(07) 4651 4162","N","(07) 4651 4280","www.jerichoss.eq.edu.au","PY","07","Central Queensland","Maranoa","Gregory","Barcaldine (R)"
"2306","Jimboomba SS - Special Education Program","Special Education Program","0","February 2012","Mount Lindesay Highway","Jimboomba","","4280","Head of Special Education Services","PO Box 119","Jimboomba","","4280","05","(07) 5548 8333","N","(07) 5548 8300","www.jimboombss.eq.edu.au","PY","07","South East","Wright","Beaudesert","Logan (C)"
"0604","Jimboomba State School","State School","850","February 2012","Mount Lindesay Highway","Jimboomba","","4280","Principal","PO Box 119","Jimboomba","","4280","10","(07) 5548 8333","N","(07) 5548 8300","www.jimboombss.eq.edu.au","PY","07","South East","Wright","Beaudesert","Logan (C)"
"1558","Jimbour State School","State School","20","February 2012","Dalby-Jandowae Road","Jimbour","","4406","Principal","PO Box 27","Jimbour","","4406","05","(07) 4663 6120","N","(07) 4663 6189","www.jimbourss.eq.edu.au","PY","07","Darling Downs South West","Maranoa","Warrego","Western Downs (R)"
"3294","Jindalee SS - Special Education Program","Special Education Program","0","February 2012","Burrendah Road","Jindalee","","4074","Head of Special Education Services","c/- Jindalee State School","Burrendah Road","Jindalee","4074","06","(07) 3725 5735","N","(07) 3725 5753","","PY","07","Metropolitan","Oxley","Mount Ommaney","Brisbane (C)"
"0402","Jindalee State School","State School","888","February 2012","114 Burrendah Road","Jindalee","","4074","Principal","114 Burrendah Road","Jindalee","","4074","10","(07) 3725 5777","N","(07) 3725 5700","www.jindaleess.eq.edu.au","PY","07","Metropolitan","Oxley","Mount Ommaney","Brisbane (C)"
"2399","Jinibara SS - Special Education Program","Special Education Program","0","February 2012","50 Cottontree Drive","Narangba","","4504","Head of Special Education Services","50 Cottontree Drive","Narangba","","4504","06","(07) 3491 1207","N","(07) 3491 1200","","PY","07","North Coast","Longman","Kallangur","Moreton Bay (R)"
"0180","Jinibara State School","State School","703","February 2012","50 Cottontree Drive","Narangba","","4504","Principal","50 Cottontree Drive","Narangba","","4504","09","(07) 3491 1222","N","(07) 3491 1200","www.jinibarass.eq.edu.au","PY","07","North Coast","Longman","Kallangur","Moreton Bay (R)"
"5590","John Paul College (Daisy Hill)","Non-State School","","","John Paul Drive","Daisy Hill","","4127","Headmaster","John Paul Drive","Daisy Hill","","4127","","(07) 3826 3333","N","(07) 3808 1028","www.jpc.qld.edu.au","PY","12","South East","Rankin","Springwood","Logan (C)"
"0064","Jondaryan State School","State School","34","February 2012","Scott Road","Jondaryan","","4403","Principal","c/- Post Office","Jondaryan","","4403","05","(07) 4692 2139","N","(07) 4692 2243","www.jondaryass.eq.edu.au","PY","07","Darling Downs South West","Groom","Condamine","Toowoomba (R)"
"6193","Jones Hill SS - Special Education Program","Special Education Program","0","February 2012","21 McIntosh Creek Road","Jones Hill Gympie","","4570","Teacher-in-Charge","21 McIntosh Creek Road","Jones Hill","Gympie","4570","","(07) 5482 3344","N","(07) 5483 6127","","PY","07","North Coast","Wide Bay","Gympie","Gympie (R)"
"0649","Jones Hill State School","State School","456","February 2012","21 McIntosh Creek Road","Jones Hill Gympie","","4570","Principal","21 McIntosh Creek Road","Jones Hill","Gympie","4570","08","(07) 5489 0555","N","(07) 5483 6127","www.jonehillss.eq.edu.au","PY","07","North Coast","Wide Bay","Gympie","Gympie (R)"
"5882","Jubilee Christian College (Atherton)","Non-State School","","","49-57 Loder Street","Atherton","","4883","Principal","PO Box 1275","Atherton","","4883","","(07) 4091 4627","N","(07) 4091 4507","www.jubileechristiancollege.com.au","PY","12","Far North Queensland","Kennedy","Dalrymple","Tablelands (R)"
"5697","Jubilee Christian College (Atherton)(Distance)","Non State School Distance Education","","","49-57 Loder Street","Atherton","","4883","Principal","PO Box 1275","Atherton","","4883","","(07) 4091 4627","N","(07) 4091 4507","","PY","12","Far North Queensland","Kennedy","Dalrymple","Tablelands (R)"
