Title,Description,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,Comments
Stradbroke Island Queensland Government Agent Program Office,"5 Ballow Road Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver license, boat license, registration, industry licensing, pre-registration inspections, QGAP",5 Ballow Road,,Dunwich,4183,PO Box 42,,Dunwich,4183,-27.499848,153.403454,13 23 80,(07) 3409 9431,,,,8:30-13:00,14:00-16:00,,,8:30-13:00,14:00-16:00,,,,,,,24/12/2012-1/1/2013,"driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass, motorcycles and trailers less than 3.5 tonne aggregate trailer mass by prior arrangement only on Tuesday and Thursday from 1.45pm to 2pm; practical driver testing for all licence classes except motorcycles and heavy vehicles combinations",
Strathpine Transport and Main Roads Customer Service Centre,"43 Bells Pocket Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",43 Bells Pocket Road,,Strathpine,4500,PO Box 115,,Strathpine,4500,-27.300523,152.988904,13 23 80,(07) 3881 2237,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonnes gross vehicle mass (pre-registration inspections are restricted to a maximum height of 2 metres) and motorcycles; this centre does not conduct pre-registration inspections for trailers; practical driver testing for all licence classes except motorcycles,
Tewantin Transport and Main Roads Customer Service Centre,"8 Sidoni St Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver license, boat license, registration, industry licensing, pre-registration inspections",8 Sidoni Street,,Tewantin,4565,PO Box 523,,Tewantin,4565,-26.392184,153.036728,13 23 80,(07) 5440 7250,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass and motorcycles only; this centre does not conduct pre-registration inspections for trailers; practical driver testing for all licence classes except motorcycles and heavy vehicles combinations,
Texas Queensland Government Agent Program Office,"32 Cadell St Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver license, boat license, registration, industry licensing, pre-registration inspections, QGAP",32 Cadell Street,,Texas,4385,PO Box 156,,Texas,4385,-28.854048,151.169527,(07) 4853 1251,(07) 4653 1265,,9:30-13:00,14:00-17:00,,,9:30-13:00,14:00-17:00,9:30-13:00,14:00-17:00,9:30-13:00,14:00-17:00,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Toowoomba Transport and Main Roads Customer Service Centre,"Cnr Clopton and Phillip St Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver license, boat license, registration, industry licensing, pre-registration inspections",Corner Clopton Street and Phillip Street,,Toowoomba,4350,PO Box 645,,Toowoomba,4350,-27.563584,151.959163,13 23 80,(07) 4639 0820,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles,
Toowoomba Passenger Transport Office,"Cnr Clopton and Phillip St Services: driver authorisations, operator accreditations","driver authorisations, operator accreditations",Corner Clopton Street and Phillip Street,,Toowoomba,4350,PO Box 645,,Toowoomba,4350,-27.563584,151.959163,(07) 4639 0804,(07) 4639 0719,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance with driver authorisations, operator accreditations and other services",
Toowoomba School Transport Office,"Cnr Clopton and Phillip St Services: School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme","School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme",Corner Clopton Street and Phillip Street,,Toowoomba,4350,PO Box 645,,Toowoomba,4350,-27.563584,151.959163,(07) 4639 0784,(07) 4639 0719,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance on School Transport Assistance Scheme, the Code Of Conduct For School Children Travelling On Buses and the School Bus Upgrade Scheme.",
Toowoomba Harristown Transport and Main Roads Customer Service Centre,"Cnr Yaldwyn and Warwick St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",Corner Yaldwyn Street and Warwick Street,,Toowoomba,4350,PO Box 645,,Toowoomba,4350,-27.575649,151.927058,13 23 80,(07) 4617 6350,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Toowoomba Harristown Motor Vehicle Inspection Centre,"Cnr Yaldwyn and Warwick St Services: vehicle safety inspections,taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",Corner Yaldwyn Street and Warwick Street,,Toowoomba,4350,PO Box 645,,Toowoomba,4350,-27.575649,151.927058,(07) 4617 6330,(07) 4635 5373,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Authorised Inspections Stations",
Townsville Garbutt Transport and Main Roads Customer Service Centre,"21-35 Leyland St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",21-35 Leyland St,,Garbutt,4814,PO Box 7466,,Garbutt,4814,-19.27184684,146.7652141,13 23 80,(07) 4758 7500,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles types; practical driver testing for all licence classes,
Townsville Garbutt Passenger Transport Office,"21-35 Leyland St Services: driver authorisations, operator accreditations","driver authorisations, operator accreditations",21-35 Leyland Street,,Garbutt,4814,PO Box 7466,,Garbutt,4814,-19.27185,146.76522,(07) 4758 7534,(07) 4758 7511,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance with driver authorisations, operator accreditations and other services",
Townsville Garbutt Motor Vehicle Inspection Centre,"21-35 Leyland St Services: vehicle safety inspections,taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",21-35 Leyland Street,,Garbutt,4814,PO Box 7466,,Garbutt,4814,-19.27184284,146.7652171,1300 784 535,(07) 4758 7500,,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Authorised Inspections Stations",
Townsville Transport and Main Roads Customer Service Centre,146 Wills St Services: driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services,146 Wills Street,,Townsville,4814,PO Box 7466,,Garbutt BC,4814,-19.25867127,146.8135486,13 23 80,(07) 4720 7207,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; this centre does not conduct any pre-registration inspections,
Warwick Customer Service Centre,"51 Victoria St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",51 Victoria Street,,Warwick,4370,PO Box 204,,Warwick,4370,-28.209894,152.03562,(07) 4660 2700,(07) 4661 5796,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,25/12/2012-26/12/2012; 1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for all vehicles; practical driver testing for all licence classes,
Warwick Motor Vehicle Inspection Centre,"1 Parker St Services: vehicle safety inspections,taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",1 Parker Street,,Warwick,4370,PO Box 645,,Toowoomba,4350,-28.210708,151.997924,(07) 4617 6330,(07) 4635 5373,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass",
Wynnum Transport and Main Roads Customer Service Centre,"139 Tingal Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests",139 Tingal Road,,Wynnum,4178,PO Box 544,,Wynnum Central,4178,-27.444986,153.171006,13 23 80,(07) 3893 2305,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,24/12/2012-1/1/2013,driver licensing; boat licensing; registration of vehicles and vessels; industry licensing services; pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass and motorcycles only and in fine weather only; practical driver testing for all licence classes except motorcycles and heavy vehicle combinations,
Zillmere Transport and Main Roads Customer Service Centre,"69 Pineapple St Services: pre-registration inspections, practical driver tests","pre-registration inspections, practical driver tests",69 Pineapple Street,,Zillmere,4034,PO Box 156,,Zillmere,4034,-27.356115,153.034651,13 23 80,(07) 3863 9854,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,25/12/2012-26/12/2012; 1/1/2013,"pre-registration inspections for light rigid, medium rigid and heavy vehicles; practical driver testing for light rigid, medium rigid and heavy vehicles; All other services previously provided at Zillmere have now been relocated to Carseldine; Please note: no cash can be accepted at the Zillmere site",
Zillmere Passenger Transport Office,"69 Pineapple St Services: driver authorisations, operator accreditations","driver authorisations, operator accreditations",69 Pineapple Street,,Zillmere,4034,PO Box 156,,Zillmere,4034,-27.356115,153.034651,(07) 3863 9848,(07) 3862 8196,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance with driver authorisations, operator accreditations and other services",
Zillmere School Transport Office,"69 Pineapple St Services: School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme","School Transport Assistance Scheme, Code Of Conduct for School Children Travelling on Buses, School Bus Upgrade Scheme",69 Pineapple Street,,Zillmere,4034,PO Box 156,,Zillmere,4034,-27.356115,153.034651,(07) 3863 9849,(07) 3263 6188,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"assistance on School Transport Assistance Scheme, the Code Of Conduct for School Children Travelling on Buses and the School Bus Upgrade Scheme",
Zillmere Motor Vehicle Inspection Centre,"69 Pineapple St Services: vehicle safety inspections,taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",69 Pineapple Street,,Zillmere,4034,PO Box 156,,Zillmere,4034,-27.356115,153.034651,(07) 3863 9892,(07) 3863 0118,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass; safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Authorised Inspections Stations",
