Location,Office type,Counter type,Address 1,Address 2,Suburb,Postcode,Latitude,Longitude,Phone,Fax,Maintenance,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Agency,Services,,,,,,,,,,,,,Site Details,Popluation
Toogoolawah,Service,QGAP,Hopkins Place,Gardner Street,Toogoolawah,4313,-27.0879,152.379463,(07) 5423 1522,(07) 5423 1473,,9:00-13:15,14:30-16:00,9:00-13:15,14:30-16:00,9:00-13:15,14:30-16:00,9:00-13:15,14:30-16:00,9:00-13:15,14:30-16:00,,,,,JAG,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Toogoolawah, a rural town of 950 people, is in the Brisbane Valley, 75 km north-west of central Brisbane and about one third further by road.",950
Tully,Service,QGAP,,46 Bryant Street,Tully,4854,-17.935826,145.922833,(07) 4068 1065,(07) 4068 3288,,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies;  Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Tully, a sugar town of 2500 people, is 110 km south of Cairns.",2500
Wandoan,Service,QGAP,,11 Lawton Street,Wandon,4419,-26.120909,149.961034,(07) 4627 5400,(07) 4627 5400,,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,,SSQ,"Birth, Death & Marriage Certificate copies; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; JP Services; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Wandoan, a rural town of about 400 people, is 270 km west of Gympie and 60 km north of Miles.",400
Weipa,Service,QGAP,,Central Avenue,Weipa,4874,-12.631199,141.878234,(07) 4069 9999,(07) 4069 9160,,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; JP Services; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,Weipa faces the Gulf of Carpentaria on the west side of Cape York Peninsula.,
Windorah ,Service,QGAP,Police Station,Victoria Street,Windorah,4481,-25.419769,142.653596,(07) 4656 3171,(07) 4656 3172,,8:00-11:00,Closed,Closed,14:00-17:00,8:00-11:00,Closed,Closed,14:00-17:00,8:00-12:00,Closed,,,,,QPS,"Birth, Death & Marriage Certificate copies; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; Transport Services - Licences, Infringements & Registrations etc; QPS - Weapons Licence; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,,
Winton ,Service,QGAP,Cout House,59 Vindex Street,Winton,4735,-22.388631,143.038782,(07) 4657 1536,(07) 4657 1583,,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,,,,,TMR,"Birth, Death & Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Applications & Renewals etc & Consumer Complaints; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; Seniors Card; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Winton, a rural town of 1000 people, is 750 km west of Rockhampton on the Landsborough Highway between Longreach and Cloncurry.",1000
Yarrabah,Service,QGAP,,5 Noble Drive,Yarrabah,4871,-16.906625,145.865863,(07) 4056 9037,(07) 4056 0759,,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,13:00-16:00,9:00-12:00,Closed,,,,,SSQ,"Birth, Death & Marriage Certificate copies; Transport Services - Licences, Infringements & Registrations etc;  SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Yarrabah, a former Aboriginal mission settlement, is a community governed by an Aboriginal Council, 15 km east of Cairns at Cape Grafton.",
Yeppoon ,Service,QGAP,Cout House,Normanby Street,Yeppoon,4703,-23.127874,150.745671,(07) 4939 5385,(07) 4939 3023,,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Public Trustee - Write a Will; Seniors Card;  SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Yeppoon, a coastal town of 13,200 people, is 30 km north east of Rockhampton.",13200
Brisbane,Service,Statistical Research,,"Lvl 8, 33 Charlotte Street",Brisbane,4001,-27.471629,153.025728,,,,,,,,,,,,,,,,,,QT&T,,,,,,,,,,,,,,,
Townsville,Service,Statistical Research,,"Lvl 7,  Suncorp Building, 61 Sturt Street",Townsville,4810,-19.258158,146.816186,,,,,,,,,,,,,,,,,,QT&T,,,,,,,,,,,,,,,
Rockhampton,Service,Statistical Research,Ground Floor,36 East Street,Rockhampton,4700,-23.376462,150.511637,,,,,,,,,,,,,,,,,,QT&T,,,,,,,,,,,,,,,
Cairns,Service,Statistical Research,,Lvl 2 Wiliam McCormack Building 5B Sheridan Street,Cairns,4870,-16.926148,145.775376,,,,,,,,,,,,,,,,,,QT&T,,,,,,,,,,,,,,,
Brisbane,Reception,,,"Lvl 9,  33 Charlotte Street",Brisbane,4001,-27.471629,153.025728,,,,,,,,,,,,,,,,,,QT&T,,,,,,,,,,,,,,,
Atherton,Service,Business Centre,,25 Mabel Street,Atherton,4883,-17.2654054,145.477644,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Ayr,Service,Business Centre,,Little Drysdale Street,Ayr,4807,-19.582966,147.404072,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Brisbane,Service,Business Centre,,"Landcentre, Lvl 2 Cnr Main and Vulture Streets",Woolloongabba,4102,-27.484542,153.035836,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Brisbane,Service,Business Centre,,"Lvl 11,  53 Albert Street",Brisbane,4001,-27.472448,153.028178,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Bundaberg,Service,Business Centre,,16-32 Enterprise Street,Bundaberg,4670,-24.885319,152.327811,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Caboolture,Service,Business Centre,,"Lvl 4,  33 King Street",Caboolture,4510,-27.084303,152.951395,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Cairns,Service,Business Centre,,"Lvl 4, Building  2, William McCormack Place, 5B Sheridan Street",Cairns,4870,-16.926148,145.775376,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Charleville,Service,Business Centre,,Hood Street,Charleville,4470,-26.409299,146.244778,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Cloncurry,Service,Business Centre,,72 Uhr Street,Cloncurry,4824,-20.705406,140.512166,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Dalby,Service,Business Centre,,"Lvl 3, Ergon Energy Building, 30 Marble Street",Dalby,4405,-27.183925,151.264552,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Emerald,Service,Business Centre,,99 Hospital Road,Emerald,4720,-23.509863,148.153267,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Robina,Service,Business Centre,,"Lvl 1, AVC Building, 14 Edgewater Court",Robina,4226,-28.075889,153.381106,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Goondiwindi,Service,Business Centre,,42 Callandoon Street,Goondiwindi,4390,-28.545505,150.304067,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Gympie,Service,Business Centre,,27 O'Connell Street,Gympie,4570,-26.187334,152.661483,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Ipswich,Service,Business Centre,,"Lvl 1, Tower Central, 114 Brisbane Street",Ipswich,4305,-27.614478,152.759432,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Kingaroy,Service,Business Centre,,Shop 2/16 Alford Street,Kingaroy,4610,-26.540836,151.838675,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Longreach,Service,Business Centre,,Landsborough Highway,Longreach,4730,-23.369302,144.193172,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Mackay,Service,Business Centre,,22-30 Wood Street,Mackay,4740,-21.140405,149.186007,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Mareeba,Service,Business Centre,,28 Peters Street,Mareeba,4880,-17.007924,145.429516,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Maryborough,Service,Business Centre,,"Station Chambers, 120 Lennox Street",Maryborough,4650,-25.5396323,152.699281,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Mount Isa,Service,Business Centre,,"Suite 30, Lvl 1 Mount Isa House, Corner Camooweal and Mary Streets",Mount Isa,4825,-20.722227,139.493885,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Nambour,Service,Business Centre,Centenary Square,52-64 Currie Street,Nambour,4560,-26.62602,152.958212,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Rockhampton,Service,Business Centre,,"Lvl 1, State Government Building, 209 Bolsover Street",Rockhampton,4700,-23.381493,150.514669,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Roma,Service,Business Centre,,1-3 Alfred Street,Roma,4455,-26.569589,148.786851,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
St George,Service,Business Centre,,126 Alfred Street,St Geroge,4487,-28.039376,148.580574,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Toowoomba,Service,Business Centre,,203 Tor Street,Toowoomba,4350,-27.5359965,151.93222,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Townsville,Service,Business Centre,"State Government Building,",187-209 Stanley Street,Townsville,4810,-19.2599274,146.813558,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Warwick,Service,Business Centre,Government Offices," 1st Floor, Corner Guy and Fitzroy Streets",Warwick,4370,-28.214513,152.035896,,,,,,,,,,,,,,,,,,DNR&M,,,,,,,,,,,,,,,
Runcorn,Service,Qld State Archives,,435 Compton Road,Runcorn,4113,-27.611679,153.070868,,,,,,,,,,,,,,,,,,DSITIA,,,,,,,,,,,,,,,
Atherton,Service,Customer Service Centre,,13 Herberton Road,Atherton,4883,-17.269614,145.473399,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Barcaldine ,Service,Customer Service Centre,,74 Ash Street,Barcaldine,4725,-23.552628,145.289614,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Beenleigh,Service,Customer Service Centre,,31 Logan River Road,Beenleigh,4207,-27.713231,153.189888,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Blackwater,Service,Customer Service Centre,,8 Blain Street,Blackwater,4717,-23.575952,148.888831,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Bowen,Service,Customer Service Centre,,6 Herbert Street,Bowen,4805,-20.015021,148.248759,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Brisbane,Service,Customer Service Centre,,229 Elizabeth Street,Brisbane,4000,-27.468783,153.028258,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Bundaberg,Service,Customer Service Centre,,9 Production Street,Bundaberg,4670,-24.890479,152.328862,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Bundall,Service,Customer Service Centre,,30 Upton Street,Bundall,4217,-28.009176,153.409814,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Burleigh Waters,Service,Customer Service Centre,Burleigh Home Space,1 Santa Maria court,Burleigh Waters,4220,-28.075833,153.423233,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Caboolture,Service,Customer Service Centre,,Corner Aerodrome Road and Piper Street,Caboolture,4510,-27.083592,152.980879,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Cairns,Service,Customer Service Centre,,Corner Owen Close and Kenny Street,Cairns,4870,-16.934595,145.771228,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Cairns,Service,Customer Service Centre,Shop 18 Bentley Village Shopping Centre,S99 McLaughlin Road,Bentley Park,4869,-17.005219,145.741599,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Caloundra,Service,Customer Service Centre,,54 Canberra Terrace,Caloundra,4551,-26.804551,153.13586,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Charleville,Service,Customer Service Centre,,Hood Street,Charleville,4470,-26.409299,146.244778,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Charters Towers,Service,Customer Service Centre,,11-15 Church Street,Charters Towers,4820,-20.071257,146.262548,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Chermside,Service,Customer Service Centre,,766 Gympie Road,Chermside,4032,-27.387469,153.030909,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Cleveland,Service,Customer Service Centre,Ross Court Centre, Corner Bloomfield Street and Ross Court,Cleveland,4163,-27.532111,153.266642,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Cloncurry,Service,Customer Service Centre,,16-22 Ramsay Street,Cloncurry,4824,-20.705892,140.509015,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Currumbin ,Service,Customer Service Centre,,Unit 3/ 109 Currumbin Creek Road,Currumbin,4223,-28.149616,153.470321,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Dalby,Service,Customer Service Centre,,20 Cunningham Street,Dalby,4405,-27.180054,151.267748,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Darra,Service,Customer Service Centre,,Argyle Parade,Darra,4076,-27.573142,152.962294,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Emerald,Service,Customer Service Centre,,83 Esmond Street,Emerald,4720,-23.520211,148.165629,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Gladstone,Service,Customer Service Centre,,2 Patterson Street,Gladstone,4680,-23.865715,151.242198,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Goondiwindi,Service,Customer Service Centre,,6 Brisbane Street,Goondiwindi,4390,-28.544476,150.306115,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Greenslopes,Service,Customer Service Centre,Greenslopes Shopping Mall,"700 Logan Road, Corner Plimsoll Street",Greenslopes,4120,-27.5113668,153.05303,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Gympie,Service,Customer Service Centre,,44 Duke Street,Gympie,4570,-26.186069,152.656534,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Helensvale,Service,Customer Service Centre,Helensvale Plaza Shopping Centre,Shop 9A/B Sir John Overall Drive,Helensvale,4212,-27.922709,153.335261,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Hervey Bay,Service,Customer Service Centre,,50-54 Main Street,Pialba,4655,-25.285053,152.839279,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Innisfail,Service,Customer Service Centre,,12-14 Clifford Road,Innisfail,4860,-17.514424,146.009895,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Ipswich,Service,Customer Service Centre; Passenger Transport,,2 Colvin Street,North Ipswich,4305,-27.605843,152.758736,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Kingaroy,Service,Customer Service Centre,Artie Kerr Building,130 Kingaroy Street,Kingaroy,4610,-26.54112,151.839274,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Longreach,Service,Customer Service Centre,,14 Wonga Street,Longreach,4730,-23.44025,144.257791,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Logan Central,Service,Customer Service Centre,,43-45 Jacaranda Avenue,Logan Central,4114,-27.645728,153.105592,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Macgregor,Service,Customer Service Centre,Kessels Court, 567 Kessells Road,Macgregor,4109,-27.562781,153.071486,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Mackay,Service,Customer Service Centre; Passenger Transport,,Corner Endeavour and Industrial Streets,Mackay,4740,-21.14371,149.194222,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Mareeba,Service,Customer Service Centre,,147 Walsh Street,Mareeba,4880,-16.993177,145.424027,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Maroochydore,Service,Customer Service Centre,,6 Kelly Court,Maroochydore,4556,-26.669857,153.088219,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Maryborough,Service,Customer Service Centre; Passenger Transport,,Bright Street,Maryborough,4650,-25.517171,152.671012,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Mount Isa,Service,Customer Service Centre,,"Shop 1, 29 Simpson Street",Mount Isa,4825,-20.725464,139.493604,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Nambour,Service,Customer Service Centre,,Corner Stanley Street and Coronation Avenue,Nambour,4560,-26.617615,152.967543,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Proserpine,Service,Customer Service Centre,,55 Main Street,Proserpine,4800,-20.401597,148.58309,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Redbank,Service,Customer Service Centre,"Redbank Plaza Shopping Centre,","Shop 221, Lvl 2, 1 Collingwood Drive",Redbank,4301,-27.605604,152.867854,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Redcliffe,Service,Customer Service Centre,,Corner Beach and Bingle Streets,Kippa Ring,4021,-27.224951,153.08989,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Rockhampton,Service,Customer Service Centre; Passenger Transport,,31 Knight Street,North Rockhampton,4701,-23.363074,150.514221,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Roma,Service,Customer Service Centre,,56-58 Gregory Street,Roma,4455,-26.573018,148.793797,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Rosalie,Service,Customer Service Centre,,109 Beck Street,Rosalie,4064,-27.463603,152.995114,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Sherwood,Service,Customer Service Centre,,14 Primrose Street,Sherwood,4075,-27.532946,152.981897,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Southport,Service,Customer Service Centre,,265 Nerang Street,Southport,4215,-27.975624,153.392677,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Spring Hill,Service,Customer Service Centre,,477 Boundary Street,Spring Hill,4000,-27.460333,153.022994,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Strathpine,Service,Customer Service Centre,,43 Bells Pocket Road,Strathpine,4500,-27.300523,152.988904,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Tewantin,Service,Customer Service Centre,,8 Sidoni Street,Tewantin,4565,-26.392184,153.036728,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Toowoomba,Service,Customer Service Centre,,Corner Clopton and Phillip Streets,Toowoomba,4350,-27.563776,151.959229,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Toowoomba,Service,Customer Service Centre,,Corner Yaldwyn and Warwick Street,Toowoomba,4350,-27.575649,151.927057,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Townsville,Service,Customer Service Centre; Passenger Transport,,21-35 Leyland Street,Garbutt,4814,-19.271846,146.764793,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Townsville,Service,Customer Service Centre,,146 Wills Street,Townsville,4810,-19.262566,146.809673,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Warwick,Service,Customer Service Centre,,51 Victoria Street,Warwick,4370,-28.2102,152.035103,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Wynnum,Service,Customer Service Centre,,139 Tingal Road,Wynnum,4178,-27.444986,153.171006,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Zillmere,Service,Customer Service Centre; Passenger Transport,,69 Pineapple Street,Zillmere,4034,-27.356114,153.03465,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Cairns,Service,Passenger Transport,,"Lvl 9, Corporate Tower, 15 Lake Street",Cairns,4870,-16.92523,145.778013,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Mooloolaba,Service,Passenger Transport,,1 Parkyn Parade,Mooloolaba,4557,-26.684425,153.133425,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Southport,Service,Passenger Transport,,34-36 Railway Street,Southport,4215,-27.963827,153.409792,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Toowoomba,Service,Passenger Transport,,1-5 Phillip Street,Toowoomba,4350,-27.563776,151.959229,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Main Beach,Service,Maritime Safety,,40-44 Seaworld Drive,Main Beach,4217,-27.9560887,153.42678,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Pinkenba,Service,Maritime Safety,,MacAurthur Avenue East,Pinkenba,4008,-27.431623,153.114487,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Mooloolaba,Service,Maritime Safety,Old Pilot Station,Parkyn Parade,Mooloolaba,4557,-26.684425,153.133425,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Gladstone,Service,Maritime Safety,"Lvl 2, Centrepoint Building", 136 Goondoon Street,Gladstone,4680,-23.844427,151.257202,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Bundaberg,Service,Maritime Safety,,"Floor 2, 46 Quay Street",Bundaberg,4670,-24.865579,152.347498,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Hervey Bay,Service,Maritime Safety,,Buccaneer Avenue,Hervey Bay,4655,-25.293554,152.908526,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Mackay,Service,Maritime Safety,,14 Discovery Lane,Mount Pleasant,4740,-21.12883,19.16414,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Airlie Beach,Service,Maritime Safety,,384 Shute Harbour Road,Airlie Beach,4802,-20.26945,148.719382,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Townsville,Service,Maritime Safety,,60 Ross Street South,Townsville,4810,-19.255141,146.827586,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Cairns,Service,Maritime Safety,,100-106 Tingira Street,Portsmith,4870,-16.94765,145.771044,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Barcaldine ,Regional Office,,,69 Ash Street,Barcaldine,4725,-23.553839,145.289896,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Warwick,Regional Office,,,306 Wood Street,Warwick,4370,-28.214046,151.995754,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Toowoomba,Regional Office,,,1-5 Phillip Street,Toowoomba,4350,-27.563776,151.959229,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Cairns,Regional Office,,,"Lvl 4, Cairns Corporate Tower, 15 Lake Street",Cairns,4870,-16.92523,145.778013,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Rockhampton,Regional Office,,,31 Knight Street,North Rockhampton,4701,-23.363074,150.514221,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Emerald,Regional Office,,,83 Esmond Street,Emerald,4720,-23.520211,148.165629,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Mackay,Regional Office,,,46 Gordon Street,Mackay,4740,-21.142222,149.182311,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Spring Hill,Regional Office,,,183 Wharf Street,Spring Hill,4000,-27.462419,153.027095,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Ipswich,Regional Office,,,"Shop R3, 38 Limestone Avenue",Ipswich,4305,-27.6159157,152.762554,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Gympie,Regional Office,,,50 River Road,Gympie,4570,-26.193275,152.661636,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Townsville,Regional Office,,,146 Wills Street,Townsville,4810,-19.262566,146.809673,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Cloncurry,Regional Office,,,16-22 Ramsay Street,Cloncurry,4824,-20.705892,140.509015,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Nerang,Regional Office,,,36-38 Cotton Street,Nerang,4211,-27.990747,153.334551,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Loganholme,Regional Office,,,3912 Pacific Motorway,Loganholme,4129,-27.666598,153.175698,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Roma,Regional Office,,,30 McDowall Street,Roma,4455,-26.572556,148.793933,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Bundaberg,Regional Office,,,23 Quay Street,Bundaberg,4670,-24.865247,152.345865,,,,,,,,,,,,,,,,,,TMR,,,,,,,,,,,,,,,
Brisbane,Service,Local Government,,"Ground Floor, 63 George Street",Brisbane,4000,-27.47378,153.026302,,,,,,,,,,,,,,,,,,DLG,,,,,,,,,,,,,,,
